Florence + The Machine,female vocalists;indie;alternative;british;indie pop;Florence and The Machine;rock;happy;folk;upbeat;pop;00s;handclaps;dog days are over;female vocalist;optimistic;skins;2009;make me sing;Energetic;favorites;Happiness hit her like a bullet in the head;female;fun;singer-songwriter;beautiful;girl power;love at first listen;Love;indie rock;energy;alt rock;hand claps;Excited;gorgeous music;dancing by myself;great vocals;unique;feeling like my heart is going to collapse with joy;favourite;best of 2009;drums that drive me crazy;art;clapping;love this beat;i can do anything;Favourites;dance to this in my underwear;dramatic;loved at first listen;party;wheeee;sing at the top of my lungs;Uplifting;2008;good;Life Is Too Short;Awesome;catchy;feel good;epic;Lyrical Dissonance;great lyrics;motherfuckin rabbits ejaculating sunshine;lovely;<3;jump around laughing like a fool;summer 2009;british indie;pretty good;power;zajebistosc poteguje w niebiosa;sing along;florence;shivers;Better than expected;Anthemic;2000s;amazing;blows my mind;leapsandleeloo;extremely addictive;Indie British;covert affairs;there is still hope;songs of 2009;drums;stuck in a dark silent classroom for 6 hours;pop rock;songs that you wanna listen to over and over again;lungs;he did not even know that when he yielded to this sorrow he overcame the spectral and fell asleep;Like Like Like;UK;summer;alternative pop;april 2011;Like;kicking and screaming;przesladuje mnie odkad sie obudzilam,Dog Days Are Over,TRKKZWM12903CE7BF0
The Hollywood Flames,rhythm and blues;50s;Rock and Roll;doo wop;oldies;rock n roll;jive;50's;jump blues;vocal groups;Swing RocknRoll,Buzz Buzz Buzz,TRKKZHN128F9359E90
Big Time Sarah,,Trying to Make a Living,TRKKZPM128F92F9E27
Fausto,,O Mar,TRKKZGP128F427F64D
The Vandals,punk,The Unseen Tears Of The Albacore,TRKKZJU128F4289B06
Myriam,,Una Noche Mas,TRKKXMF128F4259DBB
Otis Redding & Carla Thomas,soul;oldies;funk;Favourites;stax;knockmon wood;music for car driving,Knock On Wood   (LP Version),TRKKXKN128EF3445BE
PC Synergy,,Other Stuff,TRKKXIV12903CEE7F6
Orleans,,Siam Sam,TRKKXLZ128F92F40D1
Vicente Infante,,Ruletero,TRKKXNP12903CED985
22,,suomiesE twinS,TRKKXBK12903D0A08C
Rupert Hine,synthpop;80s;rock;pop;electronic;fav songs;electronic songs;1982 songs;the word up;the word set;slantrock;DERartig RATsam;2000 Jahre E-Gitarre,The Set Up,TRKKXLL12903CF5637
Field Music,male vocalists;brit pop;british;indie rock;singer-songwriter;rock;top 2007-8 : Jun 08;Top 2007-8;2007 gold;top 2007 : Jun 08;top 2007;00s Party Girl Soundtrack;best 2007;happy indie pop;2007;pure joy;field music;i am a party girl here is my soundtrack;club-dance rock;male vocalist;poprock;00s;england;english;indie pop;britpop;pop;sublime;body parts;the word close;the word hand;the word at,Closer At Hand,TRKKXJZ128EF342D6D
mewithoutYou,rootbeer float on our banana boat;animals;jolly;plvaronaswow2009;magic male voice;-3;current favorite song;tallented;crows;pastry;cookies;indie christian;songs about animals;foxes;love at first sight;tuba;like it;fable;male vocals;weird;amazing;birds;folk;The most listened song of the week,The Fox, The Crow And The Cookie,TRKKXYX128F92E0A0D
Lara Fabian,french;female vocalists;pop,Aime,TRKKXQQ128F931086C
Calle 13,Reggaeton;calle 13;raggeton;PG-13;PA,La Tripleta,TRKKXMI128F92EFC40
Fernando Delgadillo,,Tienes que mirar,TRKKXXC12903CD506A
Texas Faggott,,PuRkKaLeiRi,TRKKXCY128F425B3E3
The Harvest Ministers,,Silent House,TRKKXBQ128F427F1A6
Donna Gardier,,One and Only,TRKKXLS128F935E755
Pete Yorn,rock;singer-songwriter;indie;alternative;Pete Yorn;2000s;colors;alternative rock;indie rock;american;colours;00s;Black;All time favorite;love at first listen;roadtrip;I like this;play it again sam;driving song;catchy as hell;yorny;ringing guitars;DM mood;smoky voice beauty;yirim yirim;Emotional Adult Rock;Sentimental Favorites From The 2000s;Noah Eatons All-Time Favorite Songs;Alternative In The 2000s;just spinners;slordig;sad y fav;pop;acoustic;good;favorites;sweet;Ballad;dark;catchy;very nice;singer songwriter;bright;colorful;Workout;Alt-country;nifty;2001;male vocalist;music for good moods;Adult Alternative;songs you must sing along with;lexa;Love;rockin out;chill,Black,TRKKXFA128F426248B
Marco Masini,chrissy italien,Il Posto Delle Fragole,TRKKXQT128F42A9414
Handsome Devil,queer as folk;Smallville;Favourites;QaF;dirty;badass;naughty;PADDYS MIX;PADDYS NEW MIX;heard on Pandora;satan and hell,Tie Me Up,TRKKXZW128F428C772
Basslovers United,hands up,Doubledecker,TRKKXNL12903CF8F51
Eddie Holland,soul;motown;rhythm and blues;oldies;northern soul;northern motown;60s;male vocalists;hdh;i love him;tamla;close harmony;northern;vocals;piano;theos soulfood;shag;hman-nsoul;billboard hits to check out - the 60s;keep-the-faith,Just Ain't Enough Love,TRKKXTM128F931B14C
Margaret Whiting,,All In Fun,TRKKXLX128F149A28E
Showaddywaddy,rock;70s;oldies;adult contemporary,Sweet Music,TRKKXND128F92D0D65
Juice Newton,,Easy Way Out,TRKKXQS128F9313B0E
I Cugini di Campagna,,Sapessi quanto,TRKKXTD128F426EA6B
Sleeping States,down by the river;daytrotter;best of 2007;elovibeloved;summer;Favourites;Laid-back;singer;select;soft pop;SPARKS;Scootervonhootanany;inez,Rivers,TRKKXBN128F427BC0E
Neviss,,Saint Brokenheart,TRKKXJP12903CAE211
Jackie Allen,,If I Had (Live),TRKKXBM128F147B064
Martyn Hare,,iRave,TRKKXZY128F932DA78
Madness,,Un Passo Avanti ('one Step Beyond...' Italian Version) (Bonus Track),TRKKXWB128F9310BF9
Babasónicos,rock;indie rock,Ciegos Por El Diezmo,TRKKXNN128F427EA63
Neil Landstrumm,rice krispy treats;dub;idm;good shit;ragga;emusic;dubtronica;dubtek-step;rave step;scatter funk;dubfunktronica;DUBTEKSTEP;Solomusika-Loved;bull,Assassin Master,TRKKXHQ128F426A9BB
Ray Conniff,,I'm in the Mood for Love,TRKKXSW128F42654C5
Arturo Sandoval,,Los Elefantes,TRKKXHE128F92E41C9
Dance Hall Crashers,ska;favorites;ska punk;female vocalists;seen live,Othello,TRKKXHG128F421A24C
Toby Keith,country;pop;emo;alternative rock;pop rock;wrecker;stared;my favorite;toby keith,It's All Good,TRKKXKG128E0791E74
Roommate,synth pop;loved,Typhoon,TRKKXPZ128F42523F9
The Telepathic Butterflies,easy listening,Yearbook,TRKKXOS128F933727A
Tampa Red,blues,Witchin' Hour Blues,TRKKXXJ128F935998D
The Baltimore Consort,,On the banks of Helicon,TRKKXBU128F9335CC8
Llwybr Llaethog,,Drilacila,TRKKXDD12903CF9171
Cult of Luna,Sludge;post metal;Post-Metal;Post-core;metal;Progressive metal;heavy metal;doom metal;intense;post doom metal;9 lbs hammer,The Great Migration,TRKKXRV12903CDDCB7
Åge Aleksandersen,rock;Ballad;norwegian;lovesong,Frokost,TRKKXGG12903D01A04
Cosmic Baby,,sowjetskaja II,TRKKXYK128F425018E
A Global Threat,,Fucking Racist Maggots (Album Version),TRKKXPF128F427B1FA
Inhume,goregrind;Brutal Death Metal;grindcore,Virus,TRKKXSX128F933EB09
Simon & Garfunkel,folk;60s;folk rock;classic rock;rock;singer-songwriter;acoustic;Simon and Garfunkel;pop;oldies;folk-rock;1967;animal kingdom;Mellow;male vocalists;folk-pop;golden oldies;1968;popular;fun;evf4;my zany zoo;60s favorites;zoo;animals;at the zoo;bouncy funtime;Favorite Artists;feel good;hippie;folkrock;gdchills60s;catchy;favorites;handclaps;77davez-all-tracks;chillout dance;songs that remind me of summer;xxcitizenxx;winding down;i fucking love this song;sunshine songs;stef;summer in the city;hey song yer so fucking cute;favourite songs of all time;flashbacks;70s college faves;godly;70s high school faves;Toe Tapping;one of the greatest songs ever;furry;silent intensity;clapping;Coolest guys;Flower Power;good for driving;songs about animals;zoos;1960's;folk favorites;songs that make me feel warm inside;this song makes my brain smile;8112;totally random subject;Mike and SG;Simon and Garfunkel - At the zoo;maren;animal crackers;songs you gotta dance to;songs with animals;songs that are silly;dreams songs;celeste nostalgia;ella songs;songs that are bouncy;songs about the ZOO;Budsbuddy;songs referencing someone told me;songs about being dumb;bass line to learn;breakfast music;yiuh;xxx2;brilliant beautiful;mellow man;Happy Weekend;songs for bicycling;songs I sing along to;dakos hall of fame;fabaroonee;songs about work;jimi og rene;sunshiny;Simon and Grafunkel;luka w;muj tag;New late night lax;rockmat,At The Zoo,TRKKXDY128F4284AC8
Cancer Bats,metal;Sludge;hardcore,Doomed To Fail,TRKKXLI12903CFA31A
Willie Nelson,Willie Nelson;memories;texmex;Laredo;lobest;cactus1967,Sweet Memories,TRKKXCF128F425B1FB
Josh Ritter,folk;singer-songwriter;alternative;seasonless;andyfolk;independant folk;reminds me of the road trip;for later;stuff to hear;Either they have beards or they should have beards;contemporary folk;good song;field recordings;Faves;Singer/Songwriter;singer songwriter;Alternative Country-Rock;Current favorite songs;good;indie;Mellow;seen live;Josh Ritter,Other Side,TRKKXEL128F42633FF
Nickodemus,funk;a simple classic party;funky;chillout;Hip-Hop;re;metro funky;Flowhop;funkadunk,Give the drummer some (fort knox five remix),TRKKXSR128F92E819C
Toots and the Maytals,reggae;zion train,Canary in a Coalmine,TRKKXQF128F92FFD28
Stray,,Gonna Have Party,TRKKXVR128F92F93A1
Spencer Brewer,instrumental;piano;new age;new age accoustic neoclassical;sensual;relaxation;Richard;James LaRoche;deep energy 2,First Rain,TRKKXJO128F425C4A4
The Damnwells,rock;alternative;great song;6am;the way you look;mystie chamberlin;Just Another Folk Singer;The Merch Grrls;ThrowAway Grrls;Teh Typos;The Devil and The Deep Blue Sea,Kiss Catastrophe,TRKKXSM128F92F2A1B
Charles Wright & the Watts 103rd Street Rhythm Band,,Caesar's Palace (Remastered Version),TRKKSCS128F423932C
Itchyworms,Pinoy Rock;Cabin Crew;itchyworms;pop;OPM;k;Filipino;pinoy;eagis;mais;Leo Lastimosa,Happy House,TRKKSZR12903CEE073
Sam Brown,80s;rock;female vocalists;ecto;blues;pop;beatles;bag-o,Sometimes,TRKKSZC128F9310D80
Train,rock;90s;alternative;train;alternative rock;pop;Meet Virginia;Favorite;chill;High School;virginia;favorites;pop rock;chillout;fun;great song;top 40;alt rock;good mood;memories;driving music;Guilty Pleasures;Mellow;singer-songwriter;easy listening;pop favorites;acoustic;Character Portrait;sweet;lyrics;amusing;safmacsweeney;josh radio;Sunny Days;river music;hit;essential 90s;adult pop-rock;Faves;Their Best Song;Tell Me a Story;my soundtrack;90s pop rock;Love it;90's;Sommer;personal favourites;loved;cool;classic;relax;cute;USA;Awesome;live;schrockstar;mississippi;so nice;Redemptive;Thematic;easyrock;Kringle20 Favs;story of a girl;girls name;indie;My 90s;dazed;ninetys;favourite;Driving;4 minute madness;tportal;2 am and counting;Cheffy;lisvn;song ive heard live;hard rock;instrumental;rockit;songs that make me cry;matchbox20;songs about me;royalty;acoustic yumminess;mellowness;Great Music Mix;Chill Mixer;about a girl;love at first sight;likeit;Whiskey Weed Women;www;cold case;jerry;lyric love;americana;y100;cabaret;hook;8th and 9th grade,Meet Virginia,TRKKSRH128F426473F
The Bottle Rockets,,Queen Of The World (LP Version),TRKKSGO128F427D50A
Pétur Ben,,Pack Your Bags,TRKKSTW128F428FAF8
NewSong,,As The World Slept,TRKKSRS128F930762D
Spray,Sousaphonic AOTM 201102,She's A Brainiac,TRKKSRZ128F9300F3C
